,,win_off,win_def,loss_off,loss_def,win,loss,games,win_pct,off_win_pct,def_win_pct,Pfor,Pagainst,Pmargin
all,alex,15,12,17,18,27,35,62,43,46,40,430,487,-0.9193548387096774
all,andy,15,36,8,1,51,9,60,85,65,97,566,327,3.9833333333333334
all,fabio,5,2,4,5,7,9,16,43,55,28,95,128,-2.0625
all,lawler,2,5,5,4,7,9,16,43,28,55,108,122,-0.875
all,lucy,10,3,9,11,13,20,33,39,52,21,228,273,-1.3636363636363635
all,max,5,5,14,13,10,27,37,27,26,27,251,322,-1.9189189189189189
all,pratik,5,4,7,7,9,14,23,39,41,36,159,182,-1.0
all,sophie,6,4,4,7,10,11,21,47,60,36,161,153,0.38095238095238093
blue,alex,5,2,3,3,7,6,13,53,62,40,90,85,0.38461538461538464
blue,andy,4,9,2,1,13,3,16,81,66,90,147,69,4.875
blue,fabio,2,2,3,4,4,7,11,36,40,33,60,87,-2.4545454545454546
blue,lucy,4,1,3,4,5,7,12,41,57,20,82,87,-0.4166666666666667
blue,max,1,2,4,3,3,7,10,30,20,40,51,87,-3.6
blue,pratik,2,3,2,3,5,5,10,50,50,50,69,67,0.2
red,alex,5,7,6,8,12,14,26,46,45,46,191,214,-0.8846153846153846
red,andy,7,11,2,0,18,2,20,90,77,100,198,119,3.95
red,lucy,3,1,5,5,4,10,14,28,37,16,94,134,-2.857142857142857
red,max,2,3,6,7,5,13,18,27,25,30,139,154,-0.8333333333333334
red,pratik,3,0,4,4,3,8,11,27,42,0,73,99,-2.3636363636363638
