Foosball Ratings (Sept. 6),,,,
Name,Rank,Rank Change,"Rating (Off,Def)",Rating Change
andy,1,0,"(1087,1183) 1135","(7,-9) -1"
max,2,0,"(1046,1054) 1050","(-22,23) 0"
lawler,3,0,"(1011,1062) 1036","(-7,-9) -8"
fabio,4,0,"(1061,985) 1023","(0,0) 0"
pietro,5,0,"(1000,1037) 1018","(0,7) 3"
elisa,6,0,"(1015,1008) 1011","(0,0) 0"
atharva,7,0,"(1004,998) 1001","(0,0) 0"
alex,8,2,"(966,1028) 997","(-8,17) 4"
paul,9,-1,"(1006,987) 996","(0,0) 0"
andonian,10,-1,"(1012,974) 993","(5,-6) 0"
sophie,11,1,"(1006,968) 987","(17,-6) 5"
pratik,12,-1,"(972,986) 979","(1,-16) -7"
yunbo,13,0,"(956,970) 963","(0,0) 0"
jake,14,0,"(921,890) 905","(7,-1) 3"
lucy,15,0,"(910,892) 901","(0,0) 0"
